algorithm;File;N;P;Fitness;Time
GA;1;10;2;1.6749306479209602E8;124
GA;1;10;3;1.360081259120435E8;70
GA;1;10;4;1.1239606809189516E8;63
GA;1;10;5;9.11053706838308E7;68
GA;2;20;2;1.7281668972096133E8;83
GA;2;20;3;1.515330837777331E8;97
GA;2;20;4;1.3687913782641274E8;84
GA;2;20;5;1.2337810768205163E8;80
GA;3;30;2;1.752311326307103E8;106
GA;3;30;3;1.5595635660477382E8;106
GA;3;30;4;1.435631968672005E8;108
GA;3;30;5;1.3286235136303593E8;127
GA;4;40;2;1.8076867003936931E8;147
GA;4;40;3;1.6191881096565765E8;146
GA;4;40;4;1.4918762839610976E8;141
GA;4;40;5;1.3517233911157337E8;161
GA;5;50;2;1.7918248148424187E8;190
GA;5;50;3;1.62906926112023E8;181
GA;5;50;4;1.4386332716132602E8;197
GA;5;50;5;1.3620056056639135E8;181
GA;6;200;8;1.2781706854761463E8;2230
GA;6;200;9;1.2074282219575232E8;2218
GA;6;200;10;1.1987565401697496E8;2252
SA;1;10;2;1.6749306479209602E8;7
SA;1;10;3;1.367686137402871E8;6
SA;1;10;4;1.1239606809189516E8;7
SA;1;10;5;1.0527713761379318E8;7
SA;2;20;2;1.756382069513482E8;21
SA;2;20;3;1.5265188683051965E8;21
SA;2;20;4;1.4465428291550195E8;22
SA;2;20;5;1.268570760446933E8;21
SA;3;30;2;1.752311326307103E8;43
SA;3;30;3;1.6062558426044568E8;44
SA;3;30;4;1.5124400366366938E8;45
SA;3;30;5;1.3803446270245367E8;46
SA;4;40;2;1.7747167360141966E8;85
SA;4;40;3;1.67108745853397E8;86
SA;4;40;4;1.4396887576579413E8;85
SA;4;40;5;1.3644647000523928E8;89
SA;5;50;2;2.3620983870486462E8;130
SA;5;50;3;1.5856993339481157E8;133
SA;5;50;4;1.534221864363499E8;131
SA;5;50;5;1.417161447785597E8;135
SA;6;200;8;1.2233269227026597E8;2163
SA;6;200;9;1.2681699100574498E8;2152
SA;6;200;10;1.1840614852969997E8;2161
GA;1;10;2;1.6749306479209602E8;55
GA;1;10;3;1.360081259120435E8;56
GA;1;10;4;1.1239606809189516E8;54
GA;1;10;5;9.11053706838308E7;59
GA;2;20;2;1.7281668972096133E8;71
GA;2;20;3;1.515330837777331E8;71
GA;2;20;4;1.3562488360217682E8;70
GA;2;20;5;1.233477010530523E8;74
GA;3;30;2;1.752311326307103E8;96
GA;3;30;3;1.5597520928444985E8;99
GA;3;30;4;1.4144848574820447E8;106
GA;3;30;5;1.3188533482037647E8;103
GA;4;40;2;1.7747167360141966E8;137
GA;4;40;3;1.6129297044924468E8;141
GA;4;40;4;1.466662304382871E8;137
GA;4;40;5;1.3426496694438192E8;139
GA;5;50;2;1.81268579067993E8;182
GA;5;50;3;1.6146666134316853E8;184
GA;5;50;4;1.481619188581289E8;184
GA;5;50;5;1.344449439123392E8;184
GA;6;200;8;1.2673026191402051E8;2224
GA;6;200;9;1.2618315661144158E8;2213
GA;6;200;10;1.2117206801342507E8;2223
SA;1;10;2;1.6749306479209602E8;6
SA;1;10;3;1.360081259120435E8;6
SA;1;10;4;1.1590508536080351E8;6
SA;1;10;5;1.0364795276520574E8;6
SA;2;20;2;1.756382069513482E8;22
SA;2;20;3;1.6025021299615756E8;22
SA;2;20;4;1.3909371348857826E8;21
SA;2;20;5;1.2337810768205163E8;22
SA;3;30;2;1.752311326307103E8;47
SA;3;30;3;1.6193032913577363E8;47
SA;3;30;4;1.439902226399726E8;47
SA;3;30;5;1.2939112439687453E8;47
SA;4;40;2;1.7747167360141966E8;83
SA;4;40;3;1.6308965244910467E8;83
SA;4;40;4;1.5553396697750586E8;84
SA;4;40;5;1.4152090961442438E8;84
SA;5;50;2;1.7848428570258635E8;131
SA;5;50;3;1.6451411797255605E8;132
SA;5;50;4;1.6042067843753242E8;132
SA;5;50;5;1.3729930169589192E8;132
SA;6;200;8;1.2158351188454503E8;2140
SA;6;200;9;1.2792606321005633E8;2157
SA;6;200;10;1.1867005717152089E8;2176
GA;1;10;2;1.6749306479209602E8;54
GA;1;10;3;1.360081259120435E8;55
GA;1;10;4;1.1239606809189516E8;54
GA;1;10;5;9.11053706838308E7;56
GA;2;20;2;1.7281668972096133E8;69
GA;2;20;3;1.5265188683051965E8;71
GA;2;20;4;1.375098258622896E8;75
GA;2;20;5;1.2337054117845997E8;75
GA;3;30;2;1.752311326307103E8;97
GA;3;30;3;1.6193032913577363E8;97
GA;3;30;4;1.4144848574820447E8;98
GA;3;30;5;1.2944276524031068E8;100
GA;4;40;2;1.7747167360141966E8;139
GA;4;40;3;1.60811323882401E8;140
GA;4;40;4;1.4502736792759123E8;139
GA;4;40;5;1.3628304265042272E8;147
GA;5;50;2;1.7848428570258635E8;180
GA;5;50;3;1.5973985893302062E8;186
GA;5;50;4;1.4805330988948712E8;189
GA;5;50;5;1.3489395835793588E8;187
GA;6;200;8;1.2666025073492326E8;2222
GA;6;200;9;1.202813635065742E8;2217
GA;6;200;10;1.2183492111388758E8;2210
SA;1;10;2;1.7154076333851948E8;6
SA;1;10;3;1.360081259120435E8;6
SA;1;10;4;1.1239606809189516E8;6
SA;1;10;5;9.11053706838308E7;6
SA;2;20;2;1.7281668972096133E8;21
SA;2;20;3;1.515330837777331E8;21
SA;2;20;4;1.3815551756257173E8;22
SA;2;20;5;1.291259983029295E8;22
SA;3;30;2;1.752311326307103E8;48
SA;3;30;3;1.6451700266269138E8;47
SA;3;30;4;1.498954808939474E8;47
SA;3;30;5;1.3460169482745588E8;47
SA;4;40;2;1.7747167360141966E8;83
SA;4;40;3;1.652560111472572E8;83
SA;4;40;4;1.4502736792759123E8;84
SA;4;40;5;1.3517233911157337E8;84
SA;5;50;2;1.7854898256064263E8;150
SA;5;50;3;1.5856993339481157E8;144
SA;5;50;4;1.5757842703225783E8;131
SA;5;50;5;1.390856228324126E8;133
SA;6;200;8;1.4105281257380065E8;2140
SA;6;200;9;1.2252290515966274E8;2187
SA;6;200;10;1.1993322269590804E8;2192
GA;1;10;2;1.6749306479209602E8;55
GA;1;10;3;1.360081259120435E8;55
GA;1;10;4;1.1239606809189516E8;55
GA;1;10;5;9.11053706838308E7;57
GA;2;20;2;1.7281668972096133E8;68
GA;2;20;3;1.5265188683051965E8;73
GA;2;20;4;1.3562488360217682E8;75
GA;2;20;5;1.2337054117845997E8;73
GA;3;30;2;1.752311326307103E8;95
GA;3;30;3;1.5595635660477382E8;97
GA;3;30;4;1.4144848574820447E8;96
GA;3;30;5;1.3347292319128834E8;99
GA;4;40;2;1.8076867003936931E8;140
GA;4;40;3;1.5883054459377244E8;141
GA;4;40;4;1.510958872111723E8;139
GA;4;40;5;1.3656621810324806E8;140
GA;5;50;2;1.7918248148424187E8;177
GA;5;50;3;1.5973985893302062E8;180
GA;5;50;4;1.444155300113894E8;182
GA;5;50;5;1.3296444880579329E8;182
GA;6;200;8;1.2547515497144072E8;2216
GA;6;200;9;1.2414806581229462E8;2220
GA;6;200;10;1.2244422728094094E8;2232
SA;1;10;2;1.6749306479209602E8;6
SA;1;10;3;1.360081259120435E8;6
SA;1;10;4;1.1469302257309836E8;6
SA;1;10;5;1.0040593615981956E8;6
SA;2;20;2;1.7281668972096133E8;21
SA;2;20;3;1.571894401171143E8;21
SA;2;20;4;1.3562488360217682E8;22
SA;2;20;5;1.2533735164886034E8;22
SA;3;30;2;1.752311326307103E8;46
SA;3;30;3;1.6062558426044568E8;47
SA;3;30;4;1.4144848574820447E8;47
SA;3;30;5;1.3460169482745588E8;47
SA;4;40;2;1.7747167360141966E8;84
SA;4;40;3;1.5883054459377244E8;85
