File;N;P;Population_Size;Mutation_Prob;Fitness
1;10;2;10.0;0.01;1.6789427822656387E8
1;10;2;10.0;0.05;1.6749306479209602E8
1;10;2;10.0;0.1;1.6749306479209602E8
1;10;2;10.0;0.2;1.824426701980062E8
1;10;2;50.0;0.01;1.6749306479209602E8
1;10;2;50.0;0.05;1.6749306479209602E8
1;10;2;50.0;0.1;1.6749306479209602E8
1;10;2;50.0;0.2;1.7154076333851948E8
1;10;2;100.0;0.01;1.6749306479209602E8
1;10;2;100.0;0.05;1.6749306479209602E8
1;10;2;100.0;0.1;1.6749306479209602E8
1;10;2;100.0;0.2;1.6749306479209602E8
1;10;2;150.0;0.01;1.6749306479209602E8
1;10;2;150.0;0.05;1.6749306479209602E8
1;10;2;150.0;0.1;1.6749306479209602E8
1;10;2;150.0;0.2;1.6749306479209602E8
1;10;2;200.0;0.01;1.6749306479209602E8
1;10;2;200.0;0.05;1.6749306479209602E8
1;10;2;200.0;0.1;1.6749306479209602E8
1;10;2;200.0;0.2;1.6749306479209602E8
1;10;3;10.0;0.01;1.4560183264630604E8
1;10;3;10.0;0.05;1.367686137402871E8
1;10;3;10.0;0.1;1.4490497642297173E8
1;10;3;10.0;0.2;1.360081259120435E8
1;10;3;50.0;0.01;1.360081259120435E8
1;10;3;50.0;0.05;1.367686137402871E8
1;10;3;50.0;0.1;1.367686137402871E8
1;10;3;50.0;0.2;1.360081259120435E8
1;10;3;100.0;0.01;1.360081259120435E8
1;10;3;100.0;0.05;1.360081259120435E8
1;10;3;100.0;0.1;1.360081259120435E8
1;10;3;100.0;0.2;1.360081259120435E8
1;10;3;150.0;0.01;1.360081259120435E8
1;10;3;150.0;0.05;1.360081259120435E8
1;10;3;150.0;0.1;1.360081259120435E8
1;10;3;150.0;0.2;1.360081259120435E8
1;10;3;200.0;0.01;1.360081259120435E8
1;10;3;200.0;0.05;1.360081259120435E8
1;10;3;200.0;0.1;1.360081259120435E8
1;10;3;200.0;0.2;1.360081259120435E8
1;10;4;10.0;0.01;1.1608472789644787E8
1;10;4;10.0;0.05;1.1239606809189516E8
1;10;4;10.0;0.1;1.1590508536080351E8
1;10;4;10.0;0.2;1.2217945006651655E8
